Metric,Value,Classifier
accuracy,0.650853889943074,gaussian
accuracy,0.9430740037950665,decisionTree
accuracy,0.7571157495256167,logisticRegression
accuracy,0.9259962049335864,KNN
accuracy,0.9449715370018975,svc
precision,0.6705127062615162,gaussian
precision,0.9428982432816164,decisionTree
precision,0.7559998384313104,logisticRegression
precision,0.9291478994891628,KNN
precision,0.9457608200067729,svc
f1_score,0.5745821853286037,gaussian
f1_score,0.9427194036476747,decisionTree
f1_score,0.7563448882594709,logisticRegression
f1_score,0.9253773773409367,KNN
f1_score,0.9446430324594701,svc
recall,0.650853889943074,gaussian
recall,0.9430740037950665,decisionTree
recall,0.7571157495256167,logisticRegression
recall,0.9259962049335864,KNN
recall,0.9449715370018975,svc
